# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Zavorda, Μονή Νικάνορος 95
# dc:coverage: ff. ***
# dc:relation: Diktyon 72377 
# dc:description: collazionato in riproduzioni digitali; 

ξξαίνων : ξαίνειν
ξεναγεῖν : ξεναγεῖν
ξανθόν : ξανθός
ξεναγῶν : ξεναγεῖν
ξυνεστίζει : ξυνεστίζειν
ξυνωρίς : ξυνωρίς
ξυλιζομένη : ξυλίζειν
ξυνεχῶς : ξυνεχής
ξόανον : ξόανον
ξυναίρεται : ξυναίρεσθαι
ξυνόν : ξυνός
ξυμπονεῖ : ξυμπονεῖν
ξυναρμώσας : ξυναρμόσαι
ξυνάορον : ξυνάορος
ξυστίδας : ξυστίς
ξυνωρίδας : ξυνωρίς
ξυνιέναι : ξυνιέναι
ξυναιρεῖν : ξυναιρεῖν
ξῶ : ζῆν
