# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Zavorda, Μονή Νικάνορος 95
# dc:coverage: ff. ***
# dc:relation: Diktyon 72377 
# dc:description: collazionato in riproduzioni digitali; 

ψαθαρόν : ψαθαρός
ψαύουσα : ψαύειν
ψάλλος : ψάλλος
ψευδομαθία : ψευδομαθία
ψήφος : ψῆφος
ψηρούς : ψαρός
ψοφοδεής : ψοφοδεής
ψίγξ : ψίγξ
ψέλλια : ψέλλιον
ψόγος : ψόγος
ψώχοντες : ψώχειν
ψυδνός : ψυδνός
ψυσσά : ψυσσά
ψάλον : ψάλος
ψαλίοις : ψάλιος
ψωραλαία : ψωραλαία
ψευδηγορίας : ψευδηγορία
ψιλόν : ψιλός
ψόα : ψόα
ψαιστά : ψαιστός
ψιάδας : ψιάς
ψαχνάτος : ψαχνάτος
ψάλλειν : ψάλλειν
ψυχολκούμενος : ψυχολκεῖσθαι
ψυκτήρ : ψυκτήρ
